14/11/06	79.8	1754356
15/11/06	82.3	1266177
16/11/06	84.9	1571655
17/11/06	83.35	1163680
20/11/06	82.8	715687
21/11/06	83.4	701246
22/11/06	84.9	1263294
23/11/06	84.85	628256
24/11/06	83.9	1224345
27/11/06	82	1482150
28/11/06	81.55	1218737
29/11/06	86	2701057
30/11/06	87.75	2468871
01/12/06	86.9	1483371
04/12/06	89.5	1253739
05/12/06	91.85	1770300
06/12/06	92.25	1254085
07/12/06	92.15	657358
08/12/06	94.3	1301250
11/12/06	93.05	1454145
12/12/06	94.5	1064855
13/12/06	96.7	932282
14/12/06	96.9	965973
15/12/06	98.65	1035094
18/12/06	98.5	592382
19/12/06	97.25	867236
20/12/06	99.25	677082
21/12/06	99.4	637464
22/12/06	100.8	890619
27/12/06	101	365079
28/12/06	101.2	469360
29/12/06	102.7	516975
02/01/07	103.2	501600
03/01/07	104.5	730751
04/01/07	99.4	1652882
05/01/07	95.9	2765226
08/01/07	95.45	1114323
09/01/07	94.15	1474105
10/01/07	95.8	1361922
11/01/07	97.8	1088094
12/01/07	98.6	654389
15/01/07	97.05	994349
16/01/07	96.4	815687
17/01/07	93.9	1664636
18/01/07	96.4	2016302
19/01/07	95.5	1059023
22/01/07	98.35	1309778
23/01/07	96.25	678293
24/01/07	97.4	681257
25/01/07	95.7	759629
26/01/07	94.75	800555
29/01/07	94.55	637245
30/01/07	95.3	597222
31/01/07	93.7	685145
01/02/07	95.65	888268
02/02/07	95.75	662192
05/02/07	96.5	474647
06/02/07	95.75	568804
07/02/07	99.3	1366145
08/02/07	97.8	866015
09/02/07	98.4	628961
12/02/07	97.5	454065
13/02/07	97.8	336079
14/02/07	97.65	429833
15/02/07	96.7	660905
16/02/07	97.05	398921
19/02/07	96.85	311346
20/02/07	96	683978
21/02/07	93.83	753705
22/02/07	93.88	754619
23/02/07	93.82	669469
26/02/07	96.55	1035314
27/02/07	90.81	2795305
28/02/07	91.35	2091290
01/03/07	88.91	2270434
02/03/07	87.86	1303996
05/03/07	89.06	1669111
06/03/07	88.75	1020342
07/03/07	89.31	631332
08/03/07	91.9	902314
09/03/07	91.3	620237
12/03/07	91.11	551986
13/03/07	88.19	930125
14/03/07	85.35	1618157
15/03/07	88.21	1400028
16/03/07	89.05	1233086
19/03/07	89.76	925995
20/03/07	91.54	953251
21/03/07	92.5	541419
22/03/07	93.8	962220
23/03/07	95.92	835663
26/03/07	94.01	704780
27/03/07	94.71	628400
28/03/07	94.11	459155
29/03/07	96.25	757952
30/03/07	97.15	786493
02/04/07	98.31	615872
03/04/07	99.64	1432289
04/04/07	99.75	614820
05/04/07	100.75	513735
10/04/07	100.79	663609
11/04/07	100.46	800708
12/04/07	99.54	737929
13/04/07	100.19	557055
16/04/07	102.07	1207003
17/04/07	101	479724
18/04/07	99.68	636841
19/04/07	100.22	1235742
20/04/07	102.01	803399
23/04/07	103.14	801752
24/04/07	101.38	667385
25/04/07	107.91	2671886
26/04/07	110.07	1770857
27/04/07	110.69	1220031
30/04/07	110	956373
02/05/07	112.1	946093
03/05/07	110.26	934967
04/05/07	113.91	1381569
07/05/07	118	1763136
08/05/07	114.77	1519948
09/05/07	115.25	653328
10/05/07	114.49	729702
11/05/07	113.15	1429667
14/05/07	111.2	1759990
15/05/07	112.28	936957
16/05/07	117	1707535
17/05/07	118.74	726063
18/05/07	118.17	990817
21/05/07	117	904746
22/05/07	118.85	1232182
23/05/07	118.43	629169
24/05/07	117.14	679554
25/05/07	117.42	658940
28/05/07	116.95	57353
29/05/07	115.78	460211
30/05/07	115.35	967294
31/05/07	117.7	1002576
01/06/07	119.89	978539
04/06/07	118.9	868322
05/06/07	119.59	830676
06/06/07	116.83	1548613
07/06/07	113.64	1301747
08/06/07	112.97	1505410
11/06/07	114.8	1064038
12/06/07	114.85	730632
13/06/07	113.64	711179
14/06/07	117.6	667946
15/06/07	119.42	919266
18/06/07	120.34	981335
19/06/07	120.72	771421
20/06/07	122.17	882748
21/06/07	119.46	835553
22/06/07	120	616290
25/06/07	118.8	782951
26/06/07	120.57	947630
27/06/07	119.28	845735
28/06/07	123.09	897870
29/06/07	124.22	791191
02/07/07	124.56	1268441
03/07/07	127.35	915142
04/07/07	127.7	675666
05/07/07	128.03	947037
06/07/07	127.76	471756
09/07/07	128.45	501548
10/07/07	127.41	1128981
11/07/07	125.03	1455961
12/07/07	135.6	3063057
13/07/07	135.61	968409
16/07/07	138.55	711902
17/07/07	137.76	1141545
18/07/07	134.05	905937
19/07/07	136.67	716272
20/07/07	134.55	909771
23/07/07	136.59	703800
24/07/07	136.68	1042868
25/07/07	132.32	1027776
26/07/07	129.19	1250283
27/07/07	128.39	963414
30/07/07	130.46	1095727
31/07/07	133.8	867720
01/08/07	130.27	1098630
02/08/07	129.8	697674
03/08/07	129.29	507296
06/08/07	127.26	683052
07/08/07	129.36	865031
08/08/07	135.22	1336647
09/08/07	133.88	1282349
10/08/07	124.1	2204811
13/08/07	128.16	1400602
14/08/07	125.61	774393
15/08/07	122.57	1251799
16/08/07	117.38	1960382
17/08/07	118.19	2080987
20/08/07	122.37	1169907
21/08/07	122.19	581284
22/08/07	126.84	854177
23/08/07	128.09	1145604
24/08/07	129.21	447514
27/08/07	130.13	533264
28/08/07	128.19	621836
29/08/07	129.02	853367
30/08/07	128.96	824266
31/08/07	132.67	955521
03/09/07	133.36	492257
04/09/07	134.15	461673
05/09/07	131.4	704098
06/09/07	131.69	748783
07/09/07	126.69	810081
10/09/07	127.79	865778
11/09/07	136.06	1803521
12/09/07	135.4	1161406
13/09/07	140	1141271
